North,East,flood,aspect,curvature,dtr,elevation,Lulc,ndvi,rainfall,slope,Soil,spi,twi
2014696.567,228121.3847,1,5,2,9,1,1,9,6,2,3,2,5
2021792.46,226978.2026,1,3,3,9,1,1,9,5,1,1,1,9
2012204.256,227961.5725,1,5,3,9,1,7,10,5,2,5,1,5
2019624.044,214059.5284,0,2,3,10,2,1,10,5,2,8,1,5
2024482.984,253833.8091,1,3,2,5,1,1,9,5,2,2,2,8
2011561.47,250930.9062,1,1,3,1,1,2,8,5,3,3,2,4
2023688.874,236773.5908,1,2,3,1,1,7,4,5,2,5,3,5
2005128.208,251492.1147,1,4,1,5,1,7,6,4,1,2,4,7
2021406.13,254256.0327,1,1,2,6,1,4,9,5,1,2,1,10
2009086.745,247345.6563,1,3,3,2,1,7,7,5,1,3,1,7
2025240.218,240171.8951,1,8,3,3,1,2,8,5,1,5,1,9
2008026.19,244598.4954,1,7,3,5,1,2,9,4,1,1,2,9
2015841.107,233939.1411,1,9,1,7,1,1,9,6,1,2,2,8
2024337.614,241955.8113,1,9,2,1,1,4,3,5,2,6,5,9
2007658.761,248408.6805,1,8,1,2,1,4,7,4,1,1,1,8
2016984.109,240659.0387,1,6,1,3,1,5,7,6,1,1,3,9
2015269.675,247666.9622,1,1,2,1,1,1,2,5,1,5,10,10
2011966.804,233799.382,1,9,3,8,1,7,6,5,1,7,1,8
2009498.344,241399.1896,1,5,1,7,1,7,7,4,1,3,3,9
2008910.242,254439.2245,1,5,2,2,1,2,6,5,1,3,8,7
2005551.863,255529.3365,1,8,2,4,1,5,7,4,1,2,1,7
2019425.558,236986.4572,1,3,1,4,1,2,7,5,1,2,1,6
2018396.917,251368.1774,1,4,3,3,1,5,7,5,1,1,3,9
2007466.459,243265.4453,1,2,1,6,1,1,8,4,1,4,2,7
2022490.477,239696.3124,1,5,3,2,1,2,8,5,1,2,1,9
2012275.736,239326.4308,1,4,3,6,1,5,6,4,1,3,1,7
2025231.579,233041.896,1,7,3,5,1,5,6,5,1,1,2,9
2002902.51,249573.173,1,3,1,5,1,1,6,4,1,2,1,8
2022077.254,248010.9856,1,1,2,2,1,5,6,5,1,2,3,9
2023396.997,243539.8008,1,8,2,4,1,5,7,5,1,4,3,9
1999966.388,245416.819,1,2,1,7,1,5,7,4,2,7,1,5
2013854.515,275820.0213,1,3,2,4,1,7,5,7,2,1,2,7
2023344.398,260703.5291,1,2,3,7,1,5,6,6,1,2,1,6
2022391.912,260486.3907,1,3,2,7,1,2,6,5,1,1,2,9
2016657.185,281739.6471,1,7,1,5,1,1,10,8,4,2,8,8
2008440.584,279694.0396,1,4,2,5,1,5,7,6,2,3,6,9
2002559.784,264129.2293,1,3,1,6,1,5,8,4,1,2,2,9
2007510.999,265400.4327,1,6,1,2,1,7,9,4,2,7,2,5
2010404.88,284208.7176,1,8,3,3,1,1,7,7,1,2,2,7
2012670.535,286258.526,1,7,1,2,1,2,6,8,2,3,10,10
2008543.099,289102.564,1,7,3,3,1,1,6,6,1,1,3,10
2002311.99,286404.3181,1,2,1,6,1,5,6,6,1,3,3,9
2042079.656,230398.5007,1,2,3,8,1,5,7,6,1,3,2,7
2036996.982,231080.2022,1,7,3,8,1,5,7,5,1,4,1,7
2045070.548,229383.4738,1,5,3,8,1,5,7,6,1,3,10,10
2027500.99,231062.0307,1,3,1,7,1,2,5,5,1,1,1,8
2038858.144,224451.5542,1,1,2,10,1,6,6,6,1,2,10,10
