feature,importance,rank,permutation_mean,permutation_std
elevation,0.2471672547431346,1,0.03418803418803415,0.01792835637897696
slope,0.20174986946028303,2,0.039886039886039844,0.01685492815697897
twi,0.1322200449000086,3,0.002849002849002828,0.005553728971401122
Lulc,0.12017544151157657,4,-0.0014245014245014601,0.008281733249999238
spi,0.09660716267575224,5,-0.0031339031339031745,0.007145262794293158
ndvi,0.06835570603117863,6,0.004843304843304811,0.008456308877296762
dtr,0.04095881224397606,7,0.0034188034188034028,0.004733119010209722
rainfall,0.037610460183541,8,0.0037037037037036757,0.006117068533784592
Soil,0.02818269743994394,9,0.0056980056980056775,0.004029098468299401
aspect,0.016410543714952954,10,0.0028490028490028353,0.004593879058859566
curvature,0.010562007095652205,11,-0.0002849002849003172,0.0064276434032356205
