fold,baseline_accuracy,tuned_accuracy,smote_accuracy,baseline_f1,tuned_f1,smote_f1,baseline_auc,tuned_auc,smote_auc,tuned_minus_baseline_accuracy,smote_minus_baseline_accuracy,tuned_minus_baseline_f1,smote_minus_baseline_f1,tuned_minus_baseline_auc,smote_minus_baseline_auc
1,0.9454545454545454,0.9636363636363636,0.9636363636363636,0.9411764705882353,0.96,0.96,0.993368700265252,0.9946949602122016,0.9946949602122016,0.018181818181818188,0.018181818181818188,0.018823529411764683,0.018823529411764683,0.0013262599469495706,0.0013262599469495706
2,0.9259259259259259,0.9444444444444444,0.9444444444444444,0.9166666666666666,0.9387755102040817,0.9387755102040817,0.9793956043956044,0.989010989010989,0.9835164835164835,0.01851851851851849,0.01851851851851849,0.022108843537415046,0.022108843537415046,0.009615384615384692,0.004120879120879106
3,0.9629629629629629,0.9814814814814815,0.9814814814814815,0.9629629629629629,0.9811320754716981,0.9811320754716981,1.0,1.0,0.9986263736263736,0.0185185185185186,0.0185185185185186,0.018169112508735208,0.018169112508735208,0.0,-0.0013736263736263687
4,1.0,0.9814814814814815,1.0,1.0,0.9811320754716981,1.0,1.0,1.0,1.0,-0.01851851851851849,0.0,-0.018867924528301883,0.0,0.0,0.0
5,0.9259259259259259,0.9444444444444444,0.9074074074074074,0.92,0.9387755102040817,0.9019607843137255,0.9765517241379311,0.983448275862069,0.9820689655172413,0.01851851851851849,-0.01851851851851849,0.018775510204081636,-0.018039215686274535,0.006896551724137834,0.0055172413793102
6,0.9090909090909091,0.9090909090909091,0.9272727272727272,0.9090909090909091,0.9090909090909091,0.9259259259259259,0.9907161803713528,0.9893899204244032,0.9946949602122016,0.0,0.018181818181818188,0.0,0.01683501683501687,-0.0013262599469495706,0.003978779840848823
7,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.96,0.96,0.96,0.9903846153846153,0.9972527472527473,0.9972527472527473,0.0,0.0,0.0,0.0,0.006868131868131955,0.006868131868131955
8,0.8888888888888888,0.8888888888888888,0.9074074074074074,0.8888888888888888,0.8888888888888888,0.9090909090909091,0.9876373626373627,0.9890109890109889,0.993131868131868,0.0,0.0185185185185186,0.0,0.02020202020202022,0.0013736263736262577,0.005494505494505364
9,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.96,0.96,0.96,0.9931318681318682,0.9945054945054945,0.9986263736263736,0.0,0.0,0.0,0.0,0.0013736263736263687,0.005494505494505475
10,0.9814814814814815,0.9814814814814815,0.9629629629629629,0.9795918367346939,0.9795918367346939,0.9583333333333334,0.9986206896551725,0.9986206896551725,1.0,0.0,-0.0185185185185186,0.0,-0.021258503401360485,0.0,0.0013793103448275223
11,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.96,0.96,0.96,0.9933687002652519,0.9960212201591512,0.993368700265252,0.0,0.0,0.0,0.0,0.0026525198938992522,1.1102230246251565e-16
12,0.9444444444444444,0.9629629629629629,0.9629629629629629,0.9433962264150944,0.9615384615384616,0.9615384615384616,0.9876373626373627,0.989010989010989,0.9945054945054944,0.01851851851851849,0.01851851851851849,0.018142235123367212,0.018142235123367212,0.0013736263736263687,0.006868131868131733
13,0.9444444444444444,0.9814814814814815,0.9814814814814815,0.9411764705882353,0.9803921568627451,0.9803921568627451,0.9958791208791209,0.9986263736263736,0.9986263736263736,0.03703703703703709,0.03703703703703709,0.039215686274509776,0.039215686274509776,0.0027472527472527375,0.0027472527472527375
14,0.9629629629629629,0.9629629629629629,0.9814814814814815,0.9615384615384616,0.9615384615384616,0.9811320754716981,0.9972527472527473,0.9986263736263736,0.9986263736263736,0.0,0.0185185185185186,0.0,0.019593613933236553,0.0013736263736263687,0.0013736263736263687
15,0.8888888888888888,0.8888888888888888,0.8703703703703703,0.88,0.88,0.8627450980392157,0.9696551724137931,0.9737931034482759,0.9806896551724138,0.0,-0.01851851851851849,0.0,-0.017254901960784275,0.004137931034482789,0.011034482758620734
16,0.9272727272727272,0.9272727272727272,0.8909090909090909,0.9166666666666666,0.9166666666666666,0.8695652173913043,0.9774535809018567,0.9840848806366048,0.9867374005305041,0.0,-0.036363636363636376,0.0,-0.047101449275362306,0.006631299734748075,0.009283819628647327
17,0.9814814814814815,0.9814814814814815,0.9814814814814815,0.9811320754716981,0.9811320754716981,0.9811320754716981,0.9931318681318682,0.9958791208791209,0.9986263736263736,0.0,0.0,0.0,0.0,0.0027472527472527375,0.005494505494505475
18,0.9814814814814815,0.9814814814814815,1.0,0.9803921568627451,0.9803921568627451,1.0,1.0,0.9986263736263736,1.0,0.0,0.01851851851851849,0.0,0.019607843137254943,-0.0013736263736263687,0.0
19,0.9074074074074074,0.9444444444444444,0.9629629629629629,0.9056603773584906,0.9411764705882353,0.96,0.9876373626373627,0.9917582417582418,0.9903846153846154,0.03703703703703698,0.05555555555555547,0.035516093229744694,0.05433962264150938,0.004120879120879106,0.0027472527472527375
20,0.9074074074074074,0.9074074074074074,0.9259259259259259,0.9056603773584906,0.9056603773584906,0.9230769230769231,0.9848275862068966,0.9875862068965517,0.9903448275862069,0.0,0.01851851851851849,0.0,0.01741654571843254,0.0027586206896551557,0.0055172413793103114
21,0.9636363636363636,0.9818181818181818,1.0,0.9615384615384616,0.9803921568627451,1.0,0.9973474801061009,0.9986737400530504,1.0,0.018181818181818188,0.036363636363636376,0.018853695324283493,0.038461538461538436,0.0013262599469495706,0.0026525198938991412
22,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.96,0.96,0.96,0.9945054945054945,0.9972527472527473,0.9958791208791208,0.0,0.0,0.0,0.0,0.0027472527472527375,0.0013736263736262577
23,0.9629629629629629,0.9444444444444444,0.9444444444444444,0.9615384615384616,0.9433962264150944,0.9433962264150944,0.9917582417582417,0.9931318681318682,0.9917582417582417,-0.01851851851851849,-0.01851851851851849,-0.018142235123367212,-0.018142235123367212,0.0013736263736264798,0.0
24,0.9259259259259259,0.9259259259259259,0.9444444444444444,0.92,0.92,0.9387755102040817,0.9752747252747254,0.9807692307692308,0.9876373626373626,0.0,0.01851851851851849,0.0,0.018775510204081636,0.005494505494505475,0.012362637362637208
25,0.9444444444444444,0.9444444444444444,0.9629629629629629,0.9411764705882353,0.9411764705882353,0.9615384615384616,0.993103448275862,0.993103448275862,0.9972413793103447,0.0,0.01851851851851849,0.0,0.020361990950226283,0.0,0.004137931034482678
