model,fold,accuracy,precision,recall,f1,auroc
Original Baseline RF,1,0.9358974358974359,0.9473684210526315,0.9230769230769231,0.935064935064935,0.9848783694937542
Original Baseline RF,2,0.9615384615384616,0.9285714285714286,1.0,0.9629629629629629,1.0
Original Baseline RF,3,0.9102564102564102,0.9,0.9230769230769231,0.9113924050632911,0.9730440499671269
Original Baseline RF,4,0.961038961038961,0.9736842105263158,0.9487179487179487,0.961038961038961,0.9925775978407557
Original Baseline RF,5,0.961038961038961,0.972972972972973,0.9473684210526315,0.96,0.99055330634278
Original Baseline RF,6,0.9871794871794872,0.975,1.0,0.9873417721518988,0.9967126890203813
Original Baseline RF,7,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9704142011834319
Original Baseline RF,8,0.9487179487179487,0.9069767441860465,1.0,0.9512195121951219,0.9947403024326101
Original Baseline RF,9,0.8961038961038961,0.9428571428571428,0.8461538461538461,0.8918918918918919,0.9757085020242915
Original Baseline RF,10,0.961038961038961,0.972972972972973,0.9473684210526315,0.96,0.9986504723346828
Original Baseline RF,11,0.9743589743589743,0.9512195121951219,1.0,0.975,0.9993425378040762
Original Baseline RF,12,0.9230769230769231,0.9459459459459459,0.8974358974358975,0.9210526315789473,0.9822485207100592
Original Baseline RF,13,0.8974358974358975,0.918918918918919,0.8717948717948718,0.8947368421052632,0.977646285338593
Original Baseline RF,14,0.961038961038961,0.95,0.9743589743589743,0.9620253164556962,0.9946018893387315
Original Baseline RF,15,0.974025974025974,0.95,1.0,0.9743589743589743,0.9858299595141701
Original Baseline RF,16,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9986850756081525
Original Baseline RF,17,0.9358974358974359,1.0,0.8717948717948718,0.9315068493150684,0.9750164365548981
Original Baseline RF,18,0.9487179487179487,0.926829268292683,0.9743589743589743,0.95,0.9921104536489153
Original Baseline RF,19,0.948051948051948,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9919028340080972
Original Baseline RF,20,0.948051948051948,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9851551956815116
Original Baseline RF,21,0.9358974358974359,0.925,0.9487179487179487,0.9367088607594937,0.9894806048652203
Original Baseline RF,22,0.9615384615384616,0.9736842105263158,0.9487179487179487,0.961038961038961,0.9894806048652203
Original Baseline RF,23,0.9743589743589743,0.9512195121951219,1.0,0.975,0.9980276134122288
Original Baseline RF,24,0.9090909090909091,0.9210526315789473,0.8974358974358975,0.9090909090909091,0.9790823211875843
Original Baseline RF,25,0.935064935064935,0.9459459459459459,0.9210526315789473,0.9333333333333333,0.9898785425101214
Tuned RF - No SMOTE,1,0.9487179487179487,0.972972972972973,0.9230769230769231,0.9473684210526315,0.987508218277449
Tuned RF - No SMOTE,2,0.9743589743589743,0.9512195121951219,1.0,0.975,1.0
Tuned RF - No SMOTE,3,0.9102564102564102,0.9210526315789473,0.8974358974358975,0.9090909090909091,0.977646285338593
Tuned RF - No SMOTE,4,0.961038961038961,0.9736842105263158,0.9487179487179487,0.961038961038961,0.9946018893387315
Tuned RF - No SMOTE,5,0.961038961038961,0.972972972972973,0.9473684210526315,0.96,0.9959514170040487
