Feature,Information_Gain,Information_Gain_Ratio
aspect,0.30589689139289,0.14670265650473974
rainfall,0.151448375182349,0.12117350801820524
lulc,0.043780261841903756,0.10118313683730165
curvature,0.10145671573214177,0.10054669055520185
slope,0.161898121169043,0.07339638219562805
elevation,0.11846121968840162,0.05484891099586959
soil_type,0.02060905899561083,0.04907654674770714
twi,0.07277150794248433,0.031340982566479735
spi,0.05712715832499904,0.02460332791992437
ndvi,0.022201854141824295,0.009561818124648394
dtr,0.01407465225684057,0.00606162279005601
