Feature,VIF,Tolerance
elevation,1.6503417803590579,0.6059350929008379
slope,4.212908598985437,0.23736570032419466
aspect,1.0077588345366677,0.9923009014947163
curvature,1.0699736319031787,0.9346024707368578
twi,3.4727316228555773,0.2879577544715979
spi,2.9505663584465798,0.33891798336861745
dtr,1.406100663082419,0.711186635676442
soil_type,1.3529148852414394,0.7391447983230234
ndvi,1.3020356702281164,0.7680281138724873
lulc,1.1899477258051108,0.8403730502727812
rainfall,1.2208087810829866,0.819129101539468
